id,seperator,Key,Value,Count,w,Description,battleArea,spawnPoint,treasureReward,restingArea,questGiver,walkable
surface_gravel,_,surface,gravel,"1 843 734
3.77%",,"This tag has very large meaning range. Used for cases ranging from huge gravel pieces like track ballast used as surface, through small pieces of gravel to compacted surface.",,,,,,
surface_dirt,_,surface,dirt,"1 206 606
2.47%",,Used for where surface is exposed earth/soil/dirt but it is not sand or gravel or rock.,,,,,,
surface_grass,_,surface,grass,"977 787
2.00%",,Specifies that object has grass as a surface.,2,2,2,2,2,9
surface_compacted,_,surface,compacted,"768 450
1.57%",,Describes the surface of a feature as unpaved compacted.,,,,,,
surface_sand,_,surface,sand,"415 431
0.85%",,Specifies that object has sand as a surface.,5,5,5,5,5,5
surface_sett,_,surface,sett,"304 133
0.62%",,"Sett paving, formed from natural stones cut to have a flat top (with regular or irregular shape).",6,6,6,6,6,6
surface_fine_gravel,_,surface,fine_gravel,"294 732
0.60%",,"A multilayer pavement with a stone or gravel basis and a topmost surface of firm, granular grit, basalt or quartz.",5,5,5,5,5,5
surface_cobblestone,_,surface,cobblestone,"163 557
0.33%",,"Generic value for cobblestone, used for both sett and true cobblestone",6,6,6,6,6,6
surface_wood,_,surface,wood,"161 867
0.33%",,"Object with wooden surface. Used for bridges, plank walkways, and garden decking.",5,5,5,5,5,5
surface_earth,_,surface,earth,"136 331
0.28%",,Used for where surface is exposed earth/soil/dirt but it is not sand or gravel or rock.,,,,,,
surface_concrete:plates,_,surface,concrete:plates,"121 887
0.25%",,Heavy-duty plates placed closely together,,,,,,
surface_pebblestone,_,surface,pebblestone,"96 905
0.20%",,Surface that consists of loose rounded medium sized stones.,4,4,4,4,4,4
surface_metal,_,surface,metal,"30 920
0.06%",,"Used for metal-surfaced bridges, or for temporary tracks over fields for normal road vehicles or site traffic.",,,,,,
surface_grass_paver,_,surface,grass_paver,"27 894
0.06%",,Specifies that object is paved with grass paver - paving with large deliberate voids in it,,,,,,
surface_tartan,_,surface,tartan,"26 456
0.05%",,"A synthetic, all-weather surface typically used in running",3,3,3,3,3,9
surface_artificial_turf,_,surface,artificial_turf,"25 844
0.05%",,"A surface made from synthetic materials to look and feel like natural grass. Often used for tracks and pitches of sports such as football, baseball, etc.",,,,,,
surface_clay,_,surface,clay,"25 426
0.05%",,Marks object as having a clay surface,,,,,,
surface_mud,_,surface,mud,"22 764
0.05%",,Specifies that object has mud as a surface - all the time or at least very frequently,,,,,,
power_tower,_,power,tower,"14 863 557
49.24%",,A tower or pylon carrying high voltage electricity cables. Often constructed from steel latticework but tubular or solid pylons are also used.,0,0,0,0,0,0
power_pole,_,power,pole,"10 674 664
35.37%",,"A single pole supporting power lines, often a wood, steel, or concrete mast designed to carry minor power lines.",,,,,,
power_generator,_,power,generator,"1 870 936
6.20%",,"A device which converts one form of energy to another, for example, an electrical generator.",0,0,0,0,0,0
power_line,_,power,line,"782 255
2.59%",,"High-voltage power lines used for power transmission, usually supported by towers or pylons",,,,,,
power_minor_line,_,power,minor_line,"719 120
2.38%",,"Minor power lines forming the distribution grid, usually carried by poles.",,,,,,
power_substation,_,power,substation,"571 873
1.89%",,"A facility which controls the flow of electricity in a power network with transformers, switchgear or compensators.",0,0,0,0,0,0
power_portal,_,power,portal,"144 961
0.48%",,"A supporting structure for power lines, composed of vertical legs with cables between them attached to a horizontal crossarm.",0,0,0,0,0,0
power_transformer,_,power,transformer,"135 634
0.45%",,A device for stepping up or down electric voltage. Large power transformers are typically located inside substations,0,0,0,0,0,0
power_switch,_,power,switch,"85 426
0.28%",,A device which allows electrical network operators to power up & down lines and transformers in substations or along the power grid.,0,0,0,0,0,0
power_catenary_mast,_,power,catenary_mast,"77 755
0.26%",,A pole supporting the overhead wires used to supply electricity to vehicles equipped with a pantograph such as trams and trains,,,,,,
power_plant,_,power,plant,"64 024
0.21%",,"An industrial facility where power (electricity, useful heat, biogas) is produced by individual power generator units.",0,0,0,0,0,0
power_cable,_,power,cable,"52 216
0.17%",,"An insulated cable carrying electrical power, such as transmission or distribution cables located underground and undersea cables",,,,,,
power_terminal,_,power,terminal,"39 467
0.13%",,"A point of connection where an overhead power line ends on a building or wall; for example, when connecting it to an indoor substation.",,,,,,
power_insulator,_,power,insulator,"28 932
0.10%",,An electrical insulator which connects a power line to a support structure and prevents grounding.,,,,,,
waterway_stream,_,waterway,stream,"16 915 733
68.05%",,A naturally-forming waterway that is too narrow to be classed as a river.,0.1,1,1,1,0.1,0
waterway_ditch,_,waterway,ditch,"3 291 998
13.24%",,"A small man-made drainage waterway, usually unlined.",0.1,1,1,1,0.1,0
waterway_river,_,waterway,river,"1 702 623
6.85%",,"The linear flow of a river, in flow direction.",0,1,0,0,0,0
waterway_drain,_,waterway,drain,"1 467 351
5.90%",,"An artificial free flow waterway used for carrying superfluous water, usually lined with concrete.",0.1,1,1,1,0.1,0
waterway_canal,_,waterway,canal,"931 957
3.75%",,"An artificial '''open flow''' waterway used to carry useful water for transportation, waterpower, or irrigation.",0.1,1,1,1,0.1,0
waterway_dam,_,waterway,dam,"204 312
0.82%",,A barrier built across a river or stream to block and regulate the flow of the river.,0,1,0,0,0,0
waterway_weir,_,waterway,weir,"111 911
0.45%",,A barrier built across a river to control water speed and depth. Designed to let water flow over the top all the time or at least in specific conditions.,0.1,1,1,1,0.1,0
waterway_waterfall,_,waterway,waterfall,"59 005
0.24%",,A place where water flows over a vertical drop or a series of drops in the course of a stream or river.,0,1,0,0,0,0
amenity_parking,_,amenity,parking,"4 606 803
20.58%",,A place for parking cars,0.5,2,2,0.5,2,2
amenity_bench,_,amenity,bench,"1 973 220
8.82%",,A place for people to sit; allows room for several people.,4,10,8,10,10,2
amenity_parking_space,_,amenity,parking_space,"1 536 891
6.87%",,A single parking space on a parking lot,0.5,3,1,1,1,1
amenity_place_of_worship,_,amenity,place_of_worship,"1 357 170
6.06%",,A place where religious services are conducted,1,1,1,1,1,2
amenity_restaurant,_,amenity,restaurant,"1 267 035
5.66%",,"A restaurant sells full sit-down meals with servers, and may sell alcohol.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_school,_,amenity,school,"1 224 400
5.47%",,A primary or secondary school (pupils typically aged 6 to 18).,0,0,0,0,0,0
amenity_waste_basket,_,amenity,waste_basket,"640 233
2.86%",,A single small container for depositing garbage that is easily accessible for pedestrians.,1,5,10,1,3,0.8
amenity_fuel,_,amenity,fuel,"494 848
2.21%",,A retail facility for refueling motor vehicles,0.1,0.1,0.1,0.1,0.1,0.1
amenity_bicycle_parking,_,amenity,bicycle_parking,"493 341
2.20%",,A parking space designed for bicycles.,1,3,2,2,2,1
amenity_cafe,_,amenity,cafe,"491 036
2.19%",,A generally informal place with sit-down facilities selling beverages and light meals and/or snacks.,0.1,0.1,0.1,1,0.1,0.1
amenity_fast_food,_,amenity,fast_food,"488 021
2.18%",,A place concentrating on very fast counter-only service and take-away food.,0.1,0.1,0.1,1,0.1,0.1
amenity_shelter,_,amenity,shelter,"436 481
1.95%",,A small structure for protection against bad weather conditions,20,22,20,20,22,8
amenity_bank,_,amenity,bank,"380 274
1.70%",,"A financial establishment where customers can, among other services, deposit money and take loans",0.1,0.1,0.1,1,0.1,0.1
amenity_toilets,_,amenity,toilets,"372 327
1.66%",,A publicly accessible toilet,1,2,2,1,1,1
amenity_recycling,_,amenity,recycling,"368 630
1.65%",,A container or centre that accepts waste for recycling.,0.1,0.1,0.1,0.1,0.1,0.1
amenity_pharmacy,_,amenity,pharmacy,"355 062
1.59%",,A shop where a pharmacist sells medications,0.1,0.1,0.1,0.1,0.1,0.1
amenity_post_box,_,amenity,post_box,"351 876
1.57%",,A box to deposit outgoing postal items.,1,5,10,2,3,0.8
amenity_kindergarten,_,amenity,kindergarten,"279 769
1.25%",,A place for looking after preschool children and (typically) giving early education.,0,0,0,0,0,0
amenity_drinking_water,_,amenity,drinking_water,"268 620
1.20%",,A drinking water source which provides potable water for consumption.,1,5,10,5,3,0.8
amenity_vending_machine,_,amenity,vending_machine,"210 545
0.94%",,"A vending machine sells food, drinks, tickets or other goods automatically.",0.1,0.1,4,4,3,0.1
amenity_bar,_,amenity,bar,"207 591
0.93%",,"An establishment that sells alcoholic drinks to be consumed on the premises, characterised by a noisy and vibrant atmosphere. They usually do not sell food to be eaten as a meal. The music is usually loud and you often have to stand.",0.1,1,0.1,2,2,0.6
amenity_hunting_stand,_,amenity,hunting_stand,"204 451
0.91%",,An open or enclosed platform used by hunters to place themselves at an elevated height above the terrain.,5,5,8,6,5,5
amenity_hospital,_,amenity,hospital,"198 627
0.89%",,A hospital providing in-patient medical treatment,0,0,0,0,0,0
amenity_atm,_,amenity,atm,"197 264
0.88%",,A device that provides the clients of a financial institution with access to financial transactions.,1,5,10,2,3,0.8
amenity_post_office,_,amenity,post_office,"193 663
0.87%",,A place where letters and parcels may be sent or collected.,0.1,0.1,0.1,0.1,0.1,0.1
amenity_waste_disposal,_,amenity,waste_disposal,"188 328
0.84%",,"A medium or large disposal bin, typically for bagged up household or industrial waste.",1,7,8,1,4,0.5
amenity_pub,_,amenity,pub,"178 923
0.80%",,"An establishment that sells alcoholic drinks that can be consumed on the premises, characterised by a traditional appearance and a relaxed atmosphere. Also sells food which also can be eaten on the premises. Customers can usually sit down at a table.",0.1,1,0.1,2,2,0.1
amenity_grave_yard,_,amenity,grave_yard,"170 390
0.76%",,"A place where people (or sometimes animals) are buried, usually close to a place of worship.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_clinic,_,amenity,clinic,"164 812
0.74%",,"A clinic is a medical centre, with more staff than a doctor's office, that does not admit inpatients.",0,0,0,0,0,0
amenity_fountain,_,amenity,fountain,"152 441
0.68%",,"A fountain with cultural, decorational or historical significance or which serves a recreational purpose.",2,7,10,9,9,0.2
amenity_parking_entrance,_,amenity,parking_entrance,"152 397
0.68%",,A entrance to an underground or multi storey parking facility,0.1,2,1,1,1,0.5
amenity_doctors,_,amenity,doctors,"152 376
0.68%",,"A doctor's office, a place to get medical attention or a check up from a physician.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_community_centre,_,amenity,community_centre,"150 262
0.67%",,"A place mostly used for local events, festivities and group activities.",2,2,2,3,3,1
amenity_townhall,_,amenity,townhall,"144 263
0.64%",,A townhall serves as a community administrative center or meeting place.,1,1,1,1,2,0.5
amenity_police,_,amenity,police,"140 276
0.62%",✔,A police station is a facility where police officers patrol from and that is a first point of contact for civilians.,0,0,0,0,0,0
amenity_social_facility,_,amenity,social_facility,"128 575
0.57%",✔,A facility that provides social services,0,0,0,0,0,0
amenity_fire_station,_,amenity,fire_station,"126 224
0.56%",✔,A station from which a fire brigade operates.,0,0,0,0,0,0
amenity_dentist,_,amenity,dentist,"110 501
0.49%",✔,A dentist practice / surgery.,0,0,0,0,0,0
amenity_library,_,amenity,library,"95 852
0.43%",✔,A place to read and/or lend books,0.3,0.7,2,2,3,0.4
amenity_car_wash,_,amenity,car_wash,"95 266
0.42%",✔,A facility used to clean the exterior of motor vehicles,0.1,0.2,0.5,0.4,0.2,0.1
amenity_telephone,_,amenity,telephone,"91 895
0.41%",✔,A public telephone,1,2,3,2,4,1
amenity_charging_station,_,amenity,charging_station,"80 982
0.36%",✔,A station that supplies energy to electrical vehicles.,0.4,1,2,3,1,1
amenity_marketplace,_,amenity,marketplace,"75 642
0.34%",✔,A marketplace where goods and services are traded daily or weekly.,0.1,1,2,2,2,2
amenity_bus_station,_,amenity,bus_station,"62 356
0.28%",✔,"A bus station would usually be a terminus where many routes stop / start, and where you can change between routes, etc.",1,1,2,2,2,1
amenity_college,_,amenity,college,"61 436
0.27%",✔,"A place for further education, a post-secondary education institution which is not a University",0.1,0.1,0.1,0.1,0.1,0.1
amenity_university,_,amenity,university,"52 648
0.23%",✔,"An educational institution designed for instruction, examination, or both, of students in many branches of advanced learning.",1,1,1,1,1,1
amenity_bicycle_rental,_,amenity,bicycle_rental,"52 196
0.23%",✔,"A place, often unattended, where you can pick up and drop off rented bikes.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_veterinary,_,amenity,veterinary,"48 584
0.22%",✔,"A place that deals with the prevention, diagnosis and treatment of disease in animals.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_public_building,_,amenity,public_building,"48 489
0.22%",✔,,1,1,1,1,1,0.2
amenity_childcare,_,amenity,childcare,"45 946
0.20%",✔,A place where children are looked after which is not an amenity=kindergarten,0,0,0,0,0,0
amenity_ice_cream,_,amenity,ice_cream,"42 989
0.19%",✔,A place that sells ice cream and/or frozen yoghurt over the counter.,0.1,0.5,2,2,1,0.5
amenity_theatre,_,amenity,theatre,"42 654
0.19%",✔,A place where live theatrical performances are held.,0.1,0.1,0.1,0.1,0.1,0.1
amenity_taxi,_,amenity,taxi,"42 638
0.19%",✔,A place where taxis wait for passengers. Often near where many people congregate.,0.1,0.1,0.1,0.1,0.1,0.1
amenity_water_point,_,amenity,water_point,"33 925
0.15%",✔,A place where you can get large amounts of drinking water for refilling fresh water holding tanks.,,,,,,
amenity_bbq,_,amenity,bbq,"31 020
0.14%",✔,A permanently built place for having a BBQ,,,,,,
amenity_parcel_locker,_,amenity,parcel_locker,"29 794
0.13%",✔,Machine for picking up and sending parcels.,1,2,4,2,4,1
amenity_ferry_terminal,_,amenity,ferry_terminal,"29 736
0.13%",✔,"A place where people, cars etc. can board and leave a ferry.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_cinema,_,amenity,cinema,"29 681
0.13%",✔,"A movie theater, a place showing movies.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_motorcycle_parking,_,amenity,motorcycle_parking,"29 255
0.13%",✔,A place which is designated for parking motorcycles.,,,,,,
amenity_shower,_,amenity,shower,"27 051
0.12%",✔,"Public showers, where people can bathe under water sprays",,,,,,
amenity_courthouse,_,amenity,courthouse,"26 476
0.12%",✔,"A building which is home to a court of law, which administers justice according to the rule of law.",0,0,0,0,0,0
amenity_driving_school,_,amenity,driving_school,"25 760
0.11%",✔,A school to learn to drive a motor vehicle,,,,,,
amenity_grit_bin,_,amenity,grit_bin,"25 689
0.11%",✔,"A container that holds sand, salt and gravel to spread on roads for winter safety",,,,,,
amenity_car_rental,_,amenity,car_rental,"25 056
0.11%",✔,A place from which cars can be rented.,0.1,0.1,0.1,0.1,0.1,0.1
amenity_arts_centre,_,amenity,arts_centre,"23 393
0.10%",✔,An arts centre. A venue where a variety of arts are performed or conducted,,,,,,
amenity_clock,_,amenity,clock,"22 497
0.10%",✔,A publicly visible clock.,2,3,5,1,3,1
amenity_nightclub,_,amenity,nightclub,"22 203
0.10%",✔,A place to dance and drink at night.,0.1,0.1,0.1,0.1,0.1,0.1
amenity_public_bookcase,_,amenity,public_bookcase,"16 587
0.07%",✔,"A street furniture containing books. Take one, leave one.",0.2,0.1,5,2,4,2
amenity_watering_place,_,amenity,watering_place,"16 224
0.07%",✔,A place where water is contained and animals such as horses can drink.,,,,,,
amenity_events_venue,_,amenity,events_venue,"16 159
0.07%",✔,"A place that provides facilities for events such as banquets, weddings etc.",,,,,,
amenity_bureau_de_change,_,amenity,bureau_de_change,"14 819
0.07%",✔,An office that exchanges foreign currency and travellers cheques,0.1,0.1,0.1,0.1,0.1,0.1
amenity_loading_dock,_,amenity,loading_dock,"13 766
0.06%",✔,A loading dock is an entrance to a building used for loading and unloading goods vehicles.,0.1,0.1,0.1,0.1,0.1,0.1
amenity_letter_box,_,amenity,letter_box,"13 530
0.06%",✔,Private mailboxes where mailmen or other people deposit letters to specific addresses.,1,2,5,2,3,1
amenity_nursing_home,_,amenity,nursing_home,"13 307
0.06%",✔,A home for disabled/elderly persons who need permanent care.,,,,,,
amenity_prison,_,amenity,prison,"12 914
0.06%",✔,A prison or jail where people are incarcerated before trial or after conviction,0,0,0,0,0,0
amenity_internet_cafe,_,amenity,internet_cafe,"12 793
0.06%",✔,A place whose principal role is providing internet services.,,,,,,
amenity_food_court,_,amenity,food_court,"12 237
0.05%",✔,A place with sit-down facilities shared by multiple self-service food vendors.,2,2,2,3,3,2
amenity_studio,_,amenity,studio,"11 956
0.05%",✔,A studio used for creating radio or television programmes and broadcasting them. It can also be used to,,,,,,
amenity_bicycle_repair_station,_,amenity,bicycle_repair_station,"11 287
0.05%",✔,A public tool for self-repair of bicycles.,,,,,,
amenity_mobile_money_agent,_,amenity,mobile_money_agent,"10 989
0.05%",✔,A place where mobile money can be payed in and out.,,,,,,
amenity_biergarten,_,amenity,biergarten,"10 363
0.05%",✔,An open-air area where beer is served and you are allowed to bring your own food.,2,2,2,3,3,2
amenity_public_bath,_,amenity,public_bath,"9 861
0.04%",✔,A location where the public may bathe in common,,,,,,
amenity_car_sharing,_,amenity,car_sharing,"9 402
0.04%",✔,"Carsharing station, where you get your booked car, often separate areas on parking places.",0.1,0.1,0.1,0.1,0.1,0.1
amenity_payment_terminal,_,amenity,payment_terminal,"9 186
0.04%",✔,Self-service payment kiosk/terminal,,,,,,
amenity_social_centre,_,amenity,social_centre,"8 390
0.04%",✔,"A centre of fraternities, sororities, professional societies, union halls and other nonprofit organization.",,,,,,
amenity_vehicle_inspection,_,amenity,vehicle_inspection,"7 825
0.03%",✔,A place where legally-required vehicle inspection may be performed,,,,,,
amenity_compressed_air,_,amenity,compressed_air,"7 534
0.03%",✔,"A device to inflate tires/tyres (e.g. motorcar, bicycle)",,,,,,
amenity_monastery,_,amenity,monastery,"7 479
0.03%",✔,"An active monastery or convent, occupied by a community of monks or nuns living under religious vows",3,2,3,2,3,1
amenity_music_school,_,amenity,music_school,"7 071
0.03%",✔,"Music school, an educational institution specialized in the study, training, and research of music",,,,,,
amenity_waste_dump_site,_,amenity,waste_dump_site,"7 002
0.03%",✔,A place where trash was illegally dumped.,0,0,0,0,0,0
amenity_lavoir,_,amenity,lavoir,"6 988
0.03%",✔,A public place where people come to wash their clothes manually,,,,,,
crossing:island_no,_,crossing:island,no,"611 314
74.86%",-,,0,0,0,0,0,3
crossing:island_yes,_,crossing:island,yes,"204 001
24.98%",-,,0,0,0,0,0,1
kerb_lowered,_,kerb,lowered,"486 509
61.86%",✔,,0,0,0,0,0,2
kerb_flush,_,kerb,flush,"146 310
18.60%",✔,,0,0,0,0,0,2
kerb_raised,_,kerb,raised,"103 919
13.21%",✔,,0,0,0,0,0,1
bollard_fixed,_,bollard,fixed,"60 729
46.23%",-,,0.5,2,1,2,2,2
bollard_removable,_,bollard,removable,"49 048
37.34%",-,,0.5,2,1,2,2,2
tunnel_culvert,_,tunnel,culvert,"2 553 506
63.93%",✔,For a stream/drain/ditch passing under a road. Use it on the section of waterway passing under the road.,0.5,2,4,0.5,2,0.4
tunnel_yes,_,tunnel,yes,"1 092 014
27.34%",✔,,0.1,0.1,0.1,0.1,0.1,0.1
tunnel_building_passage,_,tunnel,building_passage,"281 561
7.05%",✔,"A tunnel passage that goes through/under a building, but is not inside the building itself.",0.4,2,2,2,2,2
vending_parking_tickets,_,vending,parking_tickets,"57 710
26.50%",✔,A machine selling tickets for parking,1,2,2,1,2,2
vending_excrement_bags,_,vending,excrement_bags,"35 358
16.24%",✔,Dispensing bags for picking up dog poop,1,2,3,2,2,2
vending_public_transport_tickets,_,vending,public_transport_tickets,"24 732
11.36%",✔,"A machine vending bus, tram, train... tickets",1,2,2,2,2,2
vending_cigarettes,_,vending,cigarettes,"24 580
11.29%",✔,A cigarette machine is a vending machine that dispenses packets of cigarettes.,1,2,2,1,2,2
bench_yes,_,bench,yes,"630 416
59.31%",-,,1,2,2,3,3,3
bench_no,_,bench,no,"428 320
40.29%",-,,1,1,1,2,2,2
bin_yes,_,bin,yes,"305 187
62.99%",✔,,1,2,3,3,2,2
bin_no,_,bin,no,"178 315
36.80%",-,,1,1,1,1,1,1
shelter_yes,_,shelter,yes,"757 767
53.89%",✔,,7,6,6,5,4,6
shelter_no,_,shelter,no,"642 561
45.70%",✔,,1,2,1,0.4,1,1
atm_yes,_,atm,yes,"172 761
95.39%",✔,A cash point/ATM (Automated Teller Machine) is available at this location.,1,1,3,2,2,2
bicycle_yes,_,bicycle,yes,"3 822 792
49.88%",✔,"Roads and other objects accessible to cyclists, but not explicitly designated/signed for their use",0.2,0.2,0.2,0.2,0.2,0.2
bicycle_designated,_,bicycle,designated,"1 547 006
20.19%",✔,Roads and other objects designated/signed to use for cyclists,0.01,0.01,0.01,0.01,0.01,0.01
bicycle_use_sidepath,_,bicycle,use_sidepath,"303 608
3.96%",✔,Compulsory cycleway aside,0.2,0.2,0.2,0.2,0.2,0.2
artwork_type_sculpture,_,artwork_type,sculpture,"84 890
42.26%",✔,Skulptur,3,9,7,3,7,1
artwork_type_statue,_,artwork_type,statue,"57 918
28.83%",✔,Statue oder Standbild,4,9,7,3,7,1
artwork_type_mural,_,artwork_type,mural,"20 600
10.26%",✔,"Eine Wandmalerei, bei der das Bild auf eine Wand oder Decke so aufgebracht wird, dass sie fest mit dem Untergrund verbunden ist.",4,6,5,3,4,1
ownership_private,_,ownership,private,"49 679
39.61%",✔,Describes object as privately owned.,0.1,0.1,0.1,0.1,0.1,0.1
electrified_no,_,electrified,no,"1 196 431
48.54%",✔,,,,,,,
electrified_contact_line,_,electrified,contact_line,"1 186 725
48.14%",✔,An overhead line,0.1,0.1,0.1,0.1,0.1,0.1
railway_rail,_,railway,rail,"2 556 162
35.52%",✔,Rails of a typical gauge track.,0.01,0.01,0.01,0.01,0.01,0.01
railway_level_crossing,_,railway,level_crossing,"964 738
13.40%",✔,A crossing between a railway and a road.,0,0,0,0,0,0.01
railway_switch,_,railway,switch,"959 548
13.33%",✔,"A railway switch, turnout or points: where trains can change from one track to another track",0.1,0.1,0.1,0.1,0.1,0.1
railway_abandoned,_,railway,abandoned,"392 407
5.45%",✔,Former railway; the track has been removed but it's still visible that there used to be a railway,1,3,4,2,2,1
railway_signal,_,railway,signal,"338 202
4.70%",✔,A railway signal,0.1,0.1,0.1,0.1,0.1,0.1
railway_buffer_stop,_,railway,buffer_stop,"238 773
3.32%",✔,Barrier that exists on a railway to prevent trains from running off the end of the tracks,0.1,0.1,0.1,0.1,0.1,0.1
railway_crossing,_,railway,crossing,"188 592
2.62%",✔,Marks the spot where pedestrians can cross a railway,0,0,0,0,0,1
railway_platform,_,railway,platform,"170 928
2.37%",✔,A railway platform.,0.1,0.1,0.1,0.1,0.1,0.1
leaf_type_broadleaved,_,leaf_type,broadleaved,"5 514 622
78.62%",✔,Broadleaved woody vegetation,2,2,2,2,2,1
leaf_type_needleleaved,_,leaf_type,needleleaved,"920 176
13.12%",✔,Needleleaved woody vegetation,2,2,2,2,2,1
leaf_type_mixed,_,leaf_type,mixed,"547 964
7.81%",✔,Habitat with broadleaved and needleleaved woody vegetation,2,2,2,2,2,1
tracktype_grade3,_,tracktype,grade3,"2 486 666
26.80%",✔,"Even mixture of hard and soft materials.
An unpaved track.",2,2,2,2,2,7
tracktype_grade2,_,tracktype,grade2,"2 030 120
21.88%",✔,"Mostly solid.
Usually an unpaved track with surface of gravel mixed with a varying amount of sand, silt, and clay. See Gravel road on Wikipedia.
May be applicable to heavily degraded and crumbled roads which was paved in past.
Often also tagged with surface=gravel;compacted;fine_gravel etc.",2,2,2,2,2,6
tracktype_grade4,_,tracktype,grade4,"1 880 820
20.27%",✔,"Mostly soft.
An unpaved track prominently with soil/sand/grass, but with some hard or compacted materials mixed in.",2,2,2,2,2,5
tracktype_grade5,_,tracktype,grade5,"1 562 142
16.83%",✔,"Soft.
An unimproved track lacking hard materials, uncompacted, with surface of soil/sand/grass.",2,2,2,2,2,2
tracktype_grade1,_,tracktype,grade1,"1 315 003
14.17%",✔,"Usually a paved surface (called also  Sealed road), often also tagged with surface=asphalt;concrete;chipseal etc",1,2,1,1,2,3
smoothness_good,_,smoothness,good,"1 587 738
35.96%",✔,"Asphalt or concrete showing the first signs of wear, such as narrow (<1.5 cm) cracks, wider cracks filled up with tar, shallow dents in which rainwater may collect, etc. that may cause trouble for rollers but not for racing bikes. The best roads paved with bricks, sett, etc. also fall in this category.",1,1,1,1,1,10
smoothness_excellent,_,smoothness,excellent,"1 071 110
24.26%",✔,"As-new asphalt or concrete, smooth paving stones with seamless connections, etc.",1,1,1,1,1,10
smoothness_intermediate,_,smoothness,intermediate,"686 890
15.56%",✔,"Asphalt and equivalent that shows signs of maintenance such as patches of repaired pavement, wider cracks (>2 cm), etc. that may cause trouble for racing bikes. The pavement may contain potholes, but these are small, shallow (<3cm deep) and few so they are easily avoided, or the road shows damage due to subsidence (depressions of a scale >50 cm) or heavy traffic (shallow ruts in asphalt caused by trucks in summer). The quality of the surface starts to affect the speed of most passenger cars, so they will slow down to make the ride more comfortable (but still above 50% of the speed they would drive at if the road was smooth). The best unpaved but compacted roads fall in this category.",1,1,1,1,1,9
smoothness_bad,_,smoothness,bad,"550 237
12.46%",✔,"Heavily damaged paved roads that badly need maintenance: many potholes, some of them quite deep. The average speed of cars is less than 50% of what it would be on a smooth road. However, it isn’t so rough that ground clearance becomes a problem. A ground clearance of a normal passenger car (>14 cm) is sufficient. Good unpaved roads without risk of damage to normal passenger cars are also included here.",1,1,1,1,1,4
smoothness_very_bad,_,smoothness,very_bad,"266 755
6.04%",✔,"Unpaved roads with potholes and ruts, but still passable with an average SUV with a ground clearance of at least 18 cm.*",1,1,1,1,1,3
smoothness_horrible,_,smoothness,horrible,"143 697
3.25%",✔,"Unpaved tracks with ruts, rocks etc that need a ground clearance of at least 21 cm (Toyota Landcruiser, Landrover, Lada Niva, bukhanka, etc.). Skid plate protection is advisable.",1,1,1,1,1,2
smoothness_very_horrible,_,smoothness,very_horrible,"69 029
1.56%",✔,Tracks with deep ruts and other obstacles that need a ground clearance of at least 24 cm.,1,1,1,1,1,1
smoothness_impassable,_,smoothness,impassable,"30 549
0.69%",✔,"Ways that used to be passable roads and can still be recognised as such in the landscape (useful for hikers), but have deteriorated so much because of fallen trees, being overgrown, severely eroded, etc. that no 4-wheeled vehicle can pass it. Consider to map narrow parts as highway=path, and the whole way as disused:=* or abandoned:*=*",1,1,1,1,1,0
leisure_pitch,_,leisure,pitch,"2 111 510
26.41%",,"An area designed for practising a particular sport, normally designated with appropriate markings.",6,4,3,1,2,6
leisure_swimming_pool,_,leisure,swimming_pool,"1 743 297
21.81%",,A swimming pool (water area only),0.1,0.1,0.1,0.1,0.1,0
leisure_park,_,leisure,park,"1 115 782
13.96%",,"A park, usually urban (municipal).",10,10,10,10,10,10
leisure_garden,_,leisure,garden,"948 680
11.87%",,A place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.,0.1,0.1,0.1,0.1,0.1,0.1
leisure_playground,_,leisure,playground,"753 614
9.43%",,A playground: an area designed for children to play.,5,5,5,6,5,2
leisure_picnic_table,_,leisure,picnic_table,"247 528
3.10%",,A table with benches for food and rest,10,10,10,10,10,1
leisure_sports_centre,_,leisure,sports_centre,"220 337
2.76%",,A sports centre is a distinct facility where sports take place within an enclosed area.,0.01,0.01,0.01,0.01,0.01,0.01
leisure_nature_reserve,_,leisure,nature_reserve,"120 933
1.51%",,"A protected area of importance for wildlife, flora, fauna or features of geological or other special interest.",0.1,0.1,0.1,0.1,0.1,0.1
leisure_track,_,leisure,track,"111 738
1.40%",,"A track for running, cycling and other non-motorised racing such as horses, greyhounds.",0.2,0.2,0.2,0.1,0.2,0.4
leisure_fitness_centre,_,leisure,fitness_centre,"62 901
0.79%",,"Fitness centre, health club or gym with exercise machines, fitness classes or both, for exercise.",0.1,0.1,0.1,0.1,0.1,0.1
leisure_fitness_station,_,leisure,fitness_station,"51 288
0.64%",,An outdoor facility where people can practise typical fitness exercises,2,5,6,3,5,2
leisure_slipway,_,leisure,slipway,"49 426
0.62%",,A slipway: a ramp for launching a boat into water,0.1,0.1,0.1,0.1,0.1,0.1
